SampleID	PatientID	Accession	BioProject	AccessionShotgun	Pool	run_prefix	instrument_model	platform	target_gene
2024C	pt_with_samples_1006_2024	SRR11396939	PRJNA607574		484	2024C..pool484	Illumina MiSeq	Illumina	16S rRNA
2024D	pt_with_samples_1006_2024	SRR11396938	PRJNA607574		484	2024D..pool484	Illumina MiSeq	Illumina	16S rRNA
642A	pt_with_samples_642_643	SRR11416281	PRJNA545312		461	642A..pool461	Illumina MiSeq	Illumina	16S rRNA
642B	pt_with_samples_642_643	SRR11416280	PRJNA545312		461	642B..pool461	Illumina MiSeq	Illumina	16S rRNA
642D	pt_with_samples_642_643	SRR11416279	PRJNA545312		461	642D..pool461	Illumina MiSeq	Illumina	16S rRNA
651A	pt_with_samples_651_652	SRR11140399	PRJNA606262		485	651A..pool485	Illumina MiSeq	Illumina	16S rRNA
652B	pt_with_samples_651_652	SRR11140397	PRJNA606262		485	652B..pool485	Illumina MiSeq	Illumina	16S rRNA
699A	pt_with_samples_2004_699	SRR11419178	PRJNA545312		353	699A..pool353	Illumina MiSeq	Illumina	16S rRNA
699B	pt_with_samples_2004_699	SRR11419177	PRJNA545312		353	699B..pool353	Illumina MiSeq	Illumina	16S rRNA
699C	pt_with_samples_2004_699	SRR11419176	PRJNA545312		353	699C..pool353	Illumina MiSeq	Illumina	16S rRNA
699D	pt_with_samples_2004_699	SRR11419175	PRJNA545312		353	699D..pool353	Illumina MiSeq	Illumina	16S rRNA
699E	pt_with_samples_2004_699	SRR11419174	PRJNA545312		676	699E..pool676	Illumina MiSeq	Illumina	16S rRNA
737A	pt_with_samples_2011_737	SRR11418797	PRJNA545312		424	737A..pool424	Illumina MiSeq	Illumina	16S rRNA
737B	pt_with_samples_2011_737	SRR11418796	PRJNA545312		424	737B..pool424	Illumina MiSeq	Illumina	16S rRNA
737C	pt_with_samples_2011_737	SRR11418795	PRJNA545312		424	737C..pool424	Illumina MiSeq	Illumina	16S rRNA
737D	pt_with_samples_2011_737	SRR11418794	PRJNA545312		424	737D..pool424	Illumina MiSeq	Illumina	16S rRNA
737E	pt_with_samples_2011_737	SRR11418793	PRJNA545312		424	737E..pool424	Illumina MiSeq	Illumina	16S rRNA
737F	pt_with_samples_2011_737	SRR11418792	PRJNA545312		424	737F..pool424	Illumina MiSeq	Illumina	16S rRNA
737G	pt_with_samples_2011_737	SRR11418791	PRJNA545312		424	737G..pool424	Illumina MiSeq	Illumina	16S rRNA
748A	pt_with_samples_2008_748	SRR11418696	PRJNA545312		353	748A..pool353	Illumina MiSeq	Illumina	16S rRNA
748B	pt_with_samples_2008_748	SRR11418695	PRJNA545312		353	748B..pool353	Illumina MiSeq	Illumina	16S rRNA
748C	pt_with_samples_2008_748	SRR11415484	PRJNA545312		353	748C..pool353	Illumina MiSeq	Illumina	16S rRNA
759A	pt_with_samples_2003_759	SRR11415720	PRJNA545312		353	759A..pool353	Illumina MiSeq	Illumina	16S rRNA
759B	pt_with_samples_2003_759	SRR11415719	PRJNA545312		353	759B..pool353	Illumina MiSeq	Illumina	16S rRNA
760A	pt_with_samples_2019_760	SRR11415718	PRJNA545312		425	760A..pool425	Illumina MiSeq	Illumina	16S rRNA
760B	pt_with_samples_2019_760	SRR11415717	PRJNA545312		425	760B..pool425	Illumina MiSeq	Illumina	16S rRNA
760C	pt_with_samples_2019_760	SRR11415716	PRJNA545312		425	760C..pool425	Illumina MiSeq	Illumina	16S rRNA
793A	pt_with_samples_2012_793	SRR11419027	PRJNA545312		416	793A..pool416	Illumina MiSeq	Illumina	16S rRNA
793B	pt_with_samples_2012_793	SRR11419026	PRJNA545312		416	793B..pool416	Illumina MiSeq	Illumina	16S rRNA
793C	pt_with_samples_2012_793	SRR11419025	PRJNA545312		416	793C..pool416	Illumina MiSeq	Illumina	16S rRNA
793D	pt_with_samples_2012_793	SRR11419024	PRJNA545312		416	793D..pool416	Illumina MiSeq	Illumina	16S rRNA
796A	pt_with_samples_2018_796	SRR11418936	PRJNA545312		437	796A..pool437	Illumina MiSeq	Illumina	16S rRNA
831A	pt_with_samples_2020_831	SRR11419291	PRJNA545312		437	831A..pool437	Illumina MiSeq	Illumina	16S rRNA
831B	pt_with_samples_2020_831	SRR11419290	PRJNA545312		437	831B..pool437	Illumina MiSeq	Illumina	16S rRNA
883A	pt_with_samples_833_883	SRR11418752	PRJNA545312		466	883A..pool466	Illumina MiSeq	Illumina	16S rRNA
883B	pt_with_samples_833_883	SRR11418751	PRJNA545312		466	883B..pool466	Illumina MiSeq	Illumina	16S rRNA
883D	pt_with_samples_833_883	SRR11418748	PRJNA545312		466	883D..pool466	Illumina MiSeq	Illumina	16S rRNA
883E	pt_with_samples_833_883	SRR11418747	PRJNA545312		488	883E..pool488	Illumina MiSeq	Illumina	16S rRNA
883F	pt_with_samples_833_883	SRR11418746	PRJNA545312		488	883F..pool488	Illumina MiSeq	Illumina	16S rRNA
883G	pt_with_samples_833_883	SRR11418745	PRJNA545312		488	883G..pool488	Illumina MiSeq	Illumina	16S rRNA
883H	pt_with_samples_833_883	SRR11418744	PRJNA545312		488	883H..pool488	Illumina MiSeq	Illumina	16S rRNA
883I	pt_with_samples_833_883	SRR11418743	PRJNA545312		592	883I..pool592	Illumina MiSeq	Illumina	16S rRNA
897A	pt_with_samples_2021_897	SRR11419053	PRJNA545312		437	897A..pool437	Illumina MiSeq	Illumina	16S rRNA
897B	pt_with_samples_2021_897	SRR11419052	PRJNA545312		437	897B..pool437	Illumina MiSeq	Illumina	16S rRNA
91A	pt_with_samples_185_91	SRR11418503	PRJNA545312		219	91A..pool219	Illumina MiSeq	Illumina	16S rRNA
91C	pt_with_samples_185_91	SRR11418502	PRJNA545312		219	91C..pool219	Illumina MiSeq	Illumina	16S rRNA
91D	pt_with_samples_185_91	SRR11418501	PRJNA545312		263	91D..pool263	Illumina MiSeq	Illumina	16S rRNA
91E	pt_with_samples_185_91	SRR11418500	PRJNA545312		219	91E..pool219	Illumina MiSeq	Illumina	16S rRNA
91F	pt_with_samples_185_91	SRR11418471	PRJNA545312		219	91F..pool219	Illumina MiSeq	Illumina	16S rRNA
91G	pt_with_samples_185_91	SRR11418470	PRJNA545312		219	91G..pool219	Illumina MiSeq	Illumina	16S rRNA
91H	pt_with_samples_185_91	SRR11418469	PRJNA545312		219	91H..pool219	Illumina MiSeq	Illumina	16S rRNA
91I	pt_with_samples_185_91	SRR11418467	PRJNA545312		219	91I..pool219	Illumina MiSeq	Illumina	16S rRNA
